,accuracy,macro_precision,macro_recall,macro_f1
Logistic Regression,0.740500670540903,0.6710505217526728,0.6780401339050628,0.670113058974653
Linear SVM,0.745641484130532,0.6434309141875455,0.6422794813386492,0.6426061357949013
Multinomial Naive Bayes,0.7664282521233795,0.7535173059082773,0.5982311449077143,0.5575706625506479
